1,Alaa Abdelnaby,1991,1995,F-C,6-10,240,24-Jun-68,Duke University
3,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,16-Apr-47,"University of California, Los Angeles"
4,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,9-Mar-69,Louisiana State University
5,Tariq Abdul-Wahad,1998,2003,F,6-6,223,3-Nov-74,San Jose State University
6,Shareef Abdur-Rahim,1997,2008,F,6-9,225,11-Dec-76,University of California
10,Alex Abrines,2017,2018,G-F,6-6,190,1-Aug-93,
11,Alex Acker,2006,2009,G,6-5,185,21-Jan-83,Pepperdine University
13,Mark Acres,1988,1993,F-C,6-11,220,15-Nov-62,Oral Roberts University
15,Quincy Acy,2013,2018,F,6-7,240,6-Oct-90,Baylor University
16,Alvan Adams,1976,1988,C-F,6-9,210,19-Jul-54,University of Oklahoma
19,Hassan Adams,2007,2009,G,6-4,220,20-Jun-84,University of Arizona
20,Jordan Adams,2015,2016,G,6-5,209,8-Jul-94,"University of California, Los Angeles"
21,Michael Adams,1986,1996,G,5-10,162,19-Jan-63,Boston College
22,Steven Adams,2014,2018,C,7-1,255,20-Jul-93,University of Pittsburgh
23,Rafael Addison,1987,1997,F-G,6-7,215,22-Jul-64,Syracuse University
24,Bam Adebayo,2018,2018,C-F,6-10,243,18-Jul-97,University of Kentucky
26,Jeff Adrien,2011,2015,F,6-7,245,10-Feb-86,University of Connecticut
27,Arron Afflalo,2008,2018,G,6-5,210,15-Oct-85,"University of California, Los Angeles"
28,Maurice Ager,2007,2011,G,6-5,202,9-Feb-84,Michigan State University
29,Mark Aguirre,1982,1994,F-G,6-6,232,10-Dec-59,DePaul University
30,Blake Ahearn,2008,2012,G,6-2,190,27-May-84,Missouri State University
31,Danny Ainge,1982,1995,G,6-4,175,17-Mar-59,Brigham Young University
33,Alexis Ajinca,2009,2017,C,7-2,248,6-May-88,
35,Josh Akognon,2013,2013,G,5-11,185,10-Feb-86,"California State University, Fullerton"
36,Solomon Alabi,2011,2012,C,7-1,251,21-Mar-88,Florida State University
37,Mark Alarie,1987,1991,F,6-8,217,11-Dec-63,Duke University
39,Furkan Aldemir,2015,2015,F-C,6-10,240,9-Aug-91,
40,Cole Aldrich,2011,2018,C,6-11,250,31-Oct-88,University of Kansas
41,LaMarcus Aldridge,2007,2018,F-C,6-11,260,19-Jul-85,University of Texas at Austin
42,Chuck Aleksinas,1985,1985,C,6-11,260,26-Feb-59,University of Connecticut
43,Cliff Alexander,2016,2016,F,6-8,245,16-Nov-95,University of Kansas
44,Cory Alexander,1996,2005,G,6-1,185,22-Jun-73,University of Virginia
45,Courtney Alexander,2001,2003,G,6-5,205,27-Apr-77,"California State University, Fresno"
46,Gary Alexander,1994,1994,F,6-7,240,1-Nov-69,University of South Florida
47,Joe Alexander,2009,2010,F,6-8,230,26-Dec-86,West Virginia University
48,Victor Alexander,1992,2002,C-F,6-9,265,31-Aug-69,Iowa State University
49,Steve Alford,1988,1991,G,6-2,183,23-Nov-64,Indiana University
52,Jarrett Allen,2018,2018,F-C,6-10,234,21-Apr-98,University of Texas at Austin
53,Jerome Allen,1996,1997,G,6-4,184,28-Jan-73,University of Pennsylvania
54,Kadeem Allen,2018,2018,G,6-3,192,15-Jan-93,University of Arizona
55,Lavoy Allen,2012,2017,F-C,6-9,260,4-Feb-89,Temple University
57,Malik Allen,2002,2011,F-C,6-10,255,27-Jun-78,Villanova University
58,Randy Allen,1989,1990,F,6-8,220,26-Jan-65,Florida State University
59,Ray Allen,1997,2014,G,6-5,205,20-Jul-75,University of Connecticut
60,Tony Allen,2005,2018,G-F,6-4,213,11-Jan-82,Oklahoma State University
63,Lance Allred,2008,2008,C,6-11,250,2-Feb-81,Weber State University
65,Morris Almond,2008,2012,G,6-6,225,2-Feb-85,Rice University
66,Derrick Alston,1995,1997,F,6-11,225,20-Aug-72,Duquesne University
67,Rafer Alston,2000,2010,G,6-2,171,24-Jul-76,"California State University, Fresno"
68,Peter Aluma,1999,1999,C,6-10,260,23-Apr-73,Liberty University
69,John Amaechi,1996,2003,C-F,6-10,270,26-Nov-70,Pennsylvania State University
70,Ashraf Amaya,1996,1997,F,6-8,230,23-Nov-71,Southern Illinois University
71,Al-Farouq Aminu,2011,2018,F,6-9,220,21-Sep-90,Wake Forest University
